recordId,co2_Level,n2o_Level,ch4_Level,co2_Flow,co2_Output,n2o_Output,ch4_Output,factoryId,timestamp
1,363.0,331.0,1.8,0.8,343.54,26.21,1.03,1,2025-01-03 18:53:01
2,1016.0,525.0,2.1,0.8,961.0,37.51,1.21,2,2025-01-03 18:53:23
3,1026.0,533.0,2.2,0.8,971.01,18.76,1.26,3,2025-01-03 18:53:20
4,1435.0,595.0,2.2,0.9,1527.84,23.56,1.41,4,2025-01-03 18:53:11
5,367.0,341.0,1.9,1.0,434.16,15.01,1.36,1,2025-01-03 19:53:01
6,1017.0,528.0,2.1,0.8,962.49,18.59,1.2,2,2025-01-03 19:53:23
7,1016.0,534.0,2.2,0.8,962.83,17.8,1.26,3,2025-01-03 19:53:20
8,1454.0,625.0,2.0,0.9,1548.96,24.75,1.29,4,2025-01-03 19:53:11
9,392.0,335.0,1.9,0.8,370.99,11.79,1.09,1,2025-01-03 20:53:01
10,1025.0,548.0,2.2,0.8,970.06,19.29,1.26,2,2025-01-03 20:53:23
11,1046.0,568.0,2.0,0.8,989.93,19.99,1.15,3,2024-01-03 20:53:20
12,1531.0,694.0,2.2,0.9,1630.06,27.48,1.42,4,2024-01-03 20:53:11
13,412.0,339.0,1.8,0.8,389.92,11.93,1.03,1,2024-01-03 21:53:01
14,1042.0,583.0,2.1,0.8,986.15,20.52,1.2,2,2024-01-03 21:53:23
15,1056.0,575.0,2.0,0.8,999.4,20.24,1.15,3,2024-01-03 21:53:20
16,1432.0,795.0,2.1,0.9,1524.65,31.48,1.36,4,2024-01-03 21:53:11
17,432.0,333.0,1.8,0.8,408.84,11.72,1.03,1,2024-01-03 22:53:01
18,1043.0,503.0,2.1,0.8,987.1,17.71,1.2,2,2024-01-03 22:53:23
19,1045.0,596.0,2.1,0.8,988.99,20.98,1.2,3,2024-01-03 22:53:20
20,1347.0,586.0,2.2,0.9,1434.15,23.21,1.42,4,2024-01-03 22:53:11
21,354.0,336.0,1.9,0.8,335.03,11.83,1.09,1,2024-01-03 23:53:01
22,1010.0,526.0,2.1,0.8,955.86,18.52,1.2,2,2024-01-03 23:53:23
23,1145.0,549.0,2.2,0.8,1083.63,19.32,1.26,3,2024-01-03 23:53:20
24,1674.0,541.0,1.9,0.9,1782.31,21.42,1.23,4,2024-01-03 23:53:11
25,732.0,331.0,1.8,0.8,692.76,11.56,1.03,1,2024-01-04 00:53:01
26,1916.0,525.0,2.1,0.8,1813.3,18.48,1.2,2,2024-01-04 00:53:23
27,1026.0,1233.0,2.2,0.8,971.01,43.4,1.26,3,2024-01-04 00:53:20
28,1535.0,595.0,2.2,0.9,1634.31,23.56,1.42,4,2024-01-04 00:53:11
29,448.0,332.0,1.85,0.8,423.99,11.69,1.06,1,2024-01-04 01:53:01
30,1025.0,524.0,2.1,0.8,970.06,18.44,1.2,2,2024-01-04 01:53:23
31,1032.0,570.0,2.1,0.8,976.68,20.06,1.2,3,2024-01-04 01:53:20
32,1550.0,580.0,2.1,0.9,1650.29,22.97,1.36,4,2024-01-04 01:53:11
33,455.0,340.0,1.85,0.8,430.61,11.97,1.06,1,2024-01-04 02:53:01
34,1040.0,523.0,2.15,0.8,984.26,18.41,1.23,2,2024-01-04 02:53:23
35,1035.0,560.0,2.1,0.8,979.52,19.71,1.2,3,2024-01-04 02:53:20
36,1580.0,590.0,2.1,0.9,1682.23,23.36,1.36,4,2024-01-04 02:53:11
37,463.0,342.0,1.85,0.8,438.18,12.04,1.06,1,2024-01-04 03:53:01
38,1055.0,520.0,2.15,0.8,988.45,18.3,1.23,2,2024-01-04 03:53:23
39,1040.0,563.0,2.15,0.8,984.26,19.82,1.23,3,2024-01-04 03:53:20
40,1600.0,595.0,2.1,0.9,1703.52,23.56,1.36,4,2024-01-04 03:53:11
41,470.0,345.0,1.85,0.8,444.81,12.14,1.06,1,2024-01-04 04:53:01
42,1065.0,510.0,2.15,0.8,1007.92,17.95,1.23,2,2024-01-04 04:53:23
43,1045.0,570.0,2.15,0.8,988.99,20.06,1.23,3,2024-01-04 04:53:20
44,1620.0,600.0,2.1,0.9,1724.81,23.76,1.36,4,2024-01-04 04:53:11
45,480.0,350.0,1.85,0.8,454.27,12.32,1.06,1,2024-01-04 05:53:01
46,1075.0,500.0,2.15,0.8,1017.38,17.6,1.23,2,2024-01-04 05:53:23
47,1050.0,578.0,2.15,0.8,993.72,20.35,1.23,3,2024-01-04 05:53:20
48,1650.0,610.0,2.1,0.9,1756.76,24.16,1.36,4,2024-01-04 05:53:11
49,493.0,355.0,1.85,0.8,463.72,12.42,1.06,1,2024-01-04 06:53:01
50,1085.0,490.0,2.15,0.8,1027.5,17.49,1.23,2,2024-01-04 06:53:23
51,1055.0,580.0,2.15,0.8,994.65,20.44,1.23,3,2025-01-04 06:53:20
52,1660.0,620.0,2.1,0.9,1767.98,24.47,1.36,4,2024-01-04 06:53:11
53,498.0,360.0,1.85,0.8,473.58,12.51,1.06,1,2024-01-04 07:53:01
54,1095.0,485.0,2.15,0.8,1037.63,17.39,1.23,2,2024-01-04 07:53:23
55,1065.0,585.0,2.15,0.8,1005.8,20.53,1.23,3,2024-01-04 07:53:20
56,1670.0,625.0,2.1,0.9,1778.1,24.78,1.36,4,2024-01-04 07:53:11
57,503.0,365.0,1.85,0.8,483.45,12.6,1.06,1,2024-01-04 08:53:01
58,1105.0,480.0,2.15,0.8,1047.75,17.29,1.23,2,2024-01-04 08:53:23
59,1075.0,590.0,2.15,0.8,1016.01,20.62,1.23,3,2024-01-04 08:53:20
60,1680.0,630.0,2.1,0.9,1788.22,25.08,1.36,4,2024-01-04 08:53:11
61,508.0,370.0,1.85,0.8,493.32,12.69,1.06,1,2024-01-04 09:53:01
62,1115.0,475.0,2.15,0.8,1057.88,17.19,1.23,2,2024-01-04 09:53:23
63,1085.0,595.0,2.15,0.8,1026.22,20.71,1.23,3,2024-01-04 09:53:20
64,1690.0,635.0,2.1,0.9,1798.34,25.38,1.36,4,2024-01-04 09:53:11
65,513.0,375.0,1.85,0.8,503.19,12.78,1.06,1,2024-01-04 10:53:01
66,1125.0,470.0,2.15,0.8,1068.0,17.09,1.23,2,2024-01-04 10:53:23
67,1095.0,600.0,2.15,0.8,1036.43,20.8,1.23,3,2024-01-04 10:53:20
68,1700.0,640.0,2.1,0.9,1808.47,25.68,1.36,4,2024-01-04 10:53:11
69,518.0,380.0,1.85,0.8,513.06,12.87,1.06,1,2024-01-04 11:53:01
70,1135.0,465.0,2.15,0.8,1078.13,16.99,1.23,2,2024-01-04 11:53:23
71,1105.0,605.0,2.15,0.8,1046.64,20.89,1.23,3,2024-01-04 11:53:20
72,1710.0,645.0,2.1,0.9,1818.59,25.98,1.36,4,2024-01-04 11:53:11
73,423.0,385.0,1.85,0.8,522.93,12.96,1.06,1,2024-01-04 12:53:01
74,1145.0,460.0,2.15,0.8,1088.25,16.89,1.23,2,2024-01-04 12:53:23
75,1115.0,610.0,2.15,0.8,1057.03,20.98,1.23,3,2024-01-04 12:53:20
76,1720.0,650.0,2.1,0.9,1828.71,26.28,1.36,4,2024-01-04 12:53:11
77,428.0,390.0,1.85,0.8,532.8,13.05,1.06,1,2024-01-04 13:53:01
78,1155.0,455.0,2.15,0.8,1098.38,16.79,1.23,2,2024-01-04 13:53:23
79,1125.0,615.0,2.15,0.8,1067.43,21.07,1.23,3,2024-01-04 13:53:20
80,1730.0,655.0,2.1,0.9,1838.83,26.58,1.36,4,2024-01-04 13:53:11
81,520.0,345.0,1.85,0.8,499.8,12.91,1.06,1,2024-01-04 08:53:01
