recordId,co2_Level,n2o_Level,ch4_Level,co2_Flow,co2_Output,n2o_Output,ch4_Output,factoryId,timestamp
3,1026.0,533.0,2.2,0.8,971.01,18.76,1.26,3,2025-01-23 18:53:20
7,1016.0,534.0,2.2,0.8,962.83,17.8,1.26,3,2025-01-23 19:53:20
11,1046.0,568.0,2.0,0.8,989.93,19.99,1.15,3,2025-01-23 20:53:20
15,1056.0,575.0,2.0,0.8,999.4,20.24,1.15,3,2025-01-23 21:53:20
19,1045.0,596.0,2.1,0.8,988.99,20.98,1.2,3,2025-01-23 22:53:20
23,1045.0,549.0,2.2,0.8,1083.63,19.32,1.26,3,2025-01-23 23:53:20
27,1026.0,1233.0,2.2,0.8,971.01,43.4,1.26,3,2025-01-24 00:53:20
31,1032.0,570.0,2.1,0.8,976.68,20.06,1.2,3,2025-01-24 01:53:20
35,1035.0,560.0,2.1,0.8,979.52,19.71,1.2,3,2025-01-24 02:53:20
39,1040.0,563.0,2.15,0.8,984.26,19.82,1.23,3,2025-01-24 03:53:20
43,1045.0,570.0,2.13,0.8,988.99,20.06,1.23,3,2025-01-24 04:53:20
47,1050.0,578.0,2.15,0.8,993.72,20.35,1.23,3,2025-01-24 05:53:20
51,1055.0,584.0,2.15,0.8,994.65,20.44,1.23,3,2025-01-24 06:53:20
55,1065.0,585.0,2.15,0.8,1005.8,20.53,1.23,3,2025-01-24 07:53:20
59,1075.0,593.0,2.15,0.8,1016.01,20.62,1.25,3,2025-01-24 08:53:20
63,1085.0,595.0,2.15,0.8,1026.22,20.71,1.23,3,2025-01-24 09:53:20
67,1095.0,600.0,2.15,0.8,1036.43,20.8,1.23,3,2025-01-24 10:53:20
71,1105.0,605.0,2.15,0.8,1046.64,20.89,1.23,3,2025-01-24 11:53:20
75,1115.0,610.0,2.15,0.8,1057.03,20.98,1.23,3,2025-01-24 12:53:20
79,1125.0,615.0,2.15,0.8,1067.43,21.07,1.23,3,2025-01-24 13:53:20
83,1070.0,590.0,2.1,0.8,1003.77,20.47,1.2,3,2025-01-24 14:53:20
87,1085.0,600.0,2.1,0.8,1013.88,20.39,1.2,3,2025-01-24 15:53:20
91,1093.0,610.0,2.1,0.8,1024.99,20.3,1.2,3,2025-01-24 16:53:20
95,1105.0,620.0,2.1,0.8,1036.1,20.21,1.2,3,2025-01-24 17:53:20
99,1121.0,630.0,2.1,0.8,1047.21,20.12,1.2,3,2025-01-24 18:53:20
103,1135.0,640.0,2.1,0.8,1058.32,20.03,1.2,3,2025-01-24 19:53:20
107,1154.0,650.0,2.1,0.8,1070.43,19.94,1.2,3,2025-01-24 20:53:20
111,1165.0,660.0,2.1,0.8,1082.54,19.85,1.2,3,2025-01-24 21:53:20
115,1187.0,670.0,2.1,0.8,1094.64,19.76,1.2,3,2025-01-24 22:53:20
119,1193.0,680.0,2.1,0.8,1106.75,19.67,1.2,3,2025-01-24 23:53:20
123,1130.0,535.0,2.16,0.8,975.0,18.5,1.24,3,2025-01-25 00:53:20
127,1182.0,537.0,2.12,0.8,977.0,18.3,1.24,3,2025-01-25 01:53:20
131,1174.0,539.0,2.14,0.8,979.0,18.1,1.28,3,2025-01-25 02:53:20
135,1186.0,541.0,2.16,0.8,981.0,17.9,1.24,3,2025-01-25 03:53:20
139,1188.0,543.0,2.14,0.8,983.0,17.7,1.24,3,2025-01-25 04:53:20
143,1174.0,545.0,2.2,0.8,985.0,17.5,1.24,3,2025-01-25 05:53:20
147,1182.0,547.0,2.19,0.8,987.0,17.3,1.25,3,2025-01-25 06:53:20
151,1183.0,549.0,2.17,0.8,989.0,17.1,1.24,3,2025-01-25 07:53:20
155,1176.0,551.0,2.19,0.8,991.0,16.9,1.24,3,2025-01-25 08:53:20
159,1178.0,553.0,2.19,0.8,993.0,16.7,1.24,3,2025-01-25 09:53:20
163,1182.0,555.0,2.18,0.8,995.0,16.5,1.24,3,2025-01-25 10:53:20
167,1175.0,549.0,2.2,0.8,934.0,32.9,1.21,3,2025-01-25 11:53:01
171,1195.0,560.0,2.2,0.81,942.0,32.2,1.24,3,2025-02-01 00:00:00
175,1205.0,565.0,2.22,0.82,947.0,31.5,1.26,3,2025-02-01 01:00:00
179,1220.0,570.0,2.25,0.83,955.0,30.8,1.28,3,2025-02-01 02:00:00
183,1235.0,575.0,2.28,0.84,960.0,30.4,1.3,3,2025-02-01 03:00:00
187,1250.0,580.0,2.3,0.85,970.0,30.0,1.32,3,2025-02-01 04:00:00
191,1265.0,585.0,2.33,0.86,975.0,29.6,1.34,3,2025-02-01 05:00:00
195,1280.0,590.0,2.36,0.87,980.0,29.3,1.36,3,2025-02-02 06:00:00
