recordId,co2_Level,n2o_Level,ch4_Level,co2_Flow,co2_Output,n2o_Output,ch4_Output,factoryId,timestamp
3,1026.0,533.0,2.2,0.8,971.01,18.76,1.26,3,2025-01-03 18:53:20
7,1016.0,534.0,2.2,0.8,962.83,17.8,1.26,3,2025-01-03 19:53:20
11,1046.0,568.0,2.0,0.8,989.93,19.99,1.15,3,2025-01-03 20:53:20
15,1056.0,575.0,2.0,0.8,999.4,20.24,1.15,3,2025-01-03 21:53:20
19,1045.0,596.0,2.1,0.8,988.99,20.98,1.2,3,2025-01-03 22:53:20
23,1145.0,549.0,2.2,0.8,1083.63,19.32,1.26,3,2025-01-03 23:53:20
27,1026.0,1233.0,2.2,0.8,971.01,43.4,1.26,3,2025-01-04 00:53:20
31,1032.0,570.0,2.1,0.8,976.68,20.06,1.2,3,2025-01-04 01:53:20
35,1035.0,560.0,2.1,0.8,979.52,19.71,1.2,3,2025-01-04 02:53:20
39,1040.0,563.0,2.15,0.8,984.26,19.82,1.23,3,2025-01-04 03:53:20
43,1045.0,570.0,2.15,0.8,988.99,20.06,1.23,3,2025-01-04 04:53:20
47,1050.0,578.0,2.15,0.8,993.72,20.35,1.23,3,2025-01-04 05:53:20
51,1055.0,580.0,2.15,0.8,994.65,20.44,1.23,3,2025-01-04 06:53:20
55,1065.0,585.0,2.15,0.8,1005.8,20.53,1.23,3,2025-01-04 07:53:20
59,1075.0,590.0,2.15,0.8,1016.01,20.62,1.23,3,2025-01-04 08:53:20
63,1085.0,595.0,2.15,0.8,1026.22,20.71,1.23,3,2025-01-04 09:53:20
67,1095.0,600.0,2.15,0.8,1036.43,20.8,1.23,3,2025-01-04 10:53:20
71,1105.0,605.0,2.15,0.8,1046.64,20.89,1.23,3,2025-01-04 11:53:20
75,1115.0,610.0,2.15,0.8,1057.03,20.98,1.23,3,2025-01-04 12:53:20
79,1125.0,615.0,2.15,0.8,1067.43,21.07,1.23,3,2025-01-04 13:53:20
83,1070.0,590.0,2.1,0.8,1003.77,20.47,1.2,3,2025-01-04 08:53:20
87,1085.0,600.0,2.1,0.8,1013.88,20.39,1.2,3,2025-01-04 09:53:20
91,1090.0,610.0,2.1,0.8,1024.99,20.3,1.2,3,2025-01-04 10:53:20
95,1105.0,620.0,2.1,0.8,1036.1,20.21,1.2,3,2025-01-04 11:53:20
99,1120.0,630.0,2.1,0.8,1047.21,20.12,1.2,3,2025-01-04 12:53:20
103,1135.0,640.0,2.1,0.8,1058.32,20.03,1.2,3,2025-01-04 13:53:20
107,1150.0,650.0,2.1,0.8,1070.43,19.94,1.2,3,2025-01-04 14:53:20
111,1165.0,660.0,2.1,0.8,1082.54,19.85,1.2,3,2025-01-04 15:53:20
115,1180.0,670.0,2.1,0.8,1094.64,19.76,1.2,3,2025-01-04 16:53:20
119,1195.0,680.0,2.1,0.8,1106.75,19.67,1.2,3,2025-01-04 17:53:20
